id;title;status;slug;menu_order;classe;chapitre;difficult;solve;annale;
1176;Matrice de transition - Bac ES Centres étrangers 2009;active;matrice-transition-bac-es-centres-etrangers-2009;2;tle-complementaire;tes-spe-graphe-probabiliste;2;en-attente-de-correction;bac-es-centres-etrangers-2009;15092510
1968;QCM sur les fonctions - Bac ES Centres étrangers 2009;active;qcm-fonctions-bac-es-centres-etrangers-2009;1;tle-complementaire;NULL;2;NULL;bac-es-centres-etrangers-2009;15092520
1971;Loi binomiale - Bac ES Centres étrangers 2009;active;loi-binomiale-bac-es-centres-etrangers-2009;8652001;tle-complementaire;tc-probabilites-conditionnelles;2;exercice-corrige;bac-es-centres-etrangers-2009;15092530
1978;Ajustement affine et exponentiel - Bac ES Centres étrangers 2009;active;ajustement-affine-exponentiel-bac-es-centres-etrangers-2009;3;tle-complementaire;NULL;2;NULL;bac-es-centres-etrangers-2009;15092540
1981;Etude de fonction Calcul d'aire - Bac ES Centres étrangers 2009;active;etude-fonction-calcul-aire-bac-es-centres-etrangers-2009;4;tle-complementaire;NULL;2;NULL;bac-es-centres-etrangers-2009;15092550
2437;Suite de fonctions - Bac S Centres étrangers 2009;active;suite-fonctions-bac-s-centres-etrangers-2009;4;terminale;NULL;2;NULL;bac-es-centres-etrangers-2009;15092560
1947;QCM sur les fonctions - Bac ES Liban 2009;active;qcm-fonctions-bac-es-liban-2009;1;tle-complementaire;NULL;2;NULL;bac-es-liban-2009;15094010
1961;Loi de probabilité - Bac ES Liban 2009;active;loi-de-probabilite-bac-es-liban-2009;8652001;tle-complementaire;tc-probabilites-conditionnelles;2;en-attente-de-correction;bac-es-liban-2009;15094020
1963;Fonction exponentielle Coût marginal - Bac ES Liban 2009;active;fonction-exponentielle-cout-marginal-bac-es-liban-2009;3;tle-complementaire;NULL;2;NULL;bac-es-liban-2009;15094030
1966;Fonction de deux variables - Bac ES Liban 2009;active;fonction-deux-variables-bac-es-liban-2009;4;tle-complementaire;NULL;2;NULL;bac-es-liban-2009;15094040
2771;Ajustement exponentiel - Bac ES Liban 2009;active;ajustement-exponentiel-bac-es-liban-2009;4;tle-complementaire;NULL;2;NULL;bac-es-liban-2009;15094050
1139;Graphes Algorithme de Dijkstra - Bac ES Métropole 2009;active;graphes-algorithme-dijkstra-bac-es-metropole-2009;9702001;tle-expert;tx-graphes;2;exercice-corrige;bac-es-metropole-2009;15095010
1909;Ajustement affine-Bac ES Métropole 2009;active;ajustement-affine-bac-es-metropole-2009;1;tle-complementaire;NULL;2;NULL;bac-es-metropole-2009;15095020
1913;Logarithmes - Bac ES Métropole 2009;active;lecture-graphique-logarithme-bac-es-metropole-2009;2;tle-complementaire;NULL;2;exercice-corrige;bac-es-metropole-2009;15095030
1925;Étude d'une fonction - Application économique - Bac ES Métropole 2009;active;fonction-application-economique-bac-es-metropole-2009;4;tle-complementaire;NULL;2;exercice-corrige;bac-es-metropole-2009;15095040
1931;Probabilités Loi binomiale - Bac ES Pondichéry 2009;active;probabilites-loi-binomiale-bac-es-pondichery-2009;8652001;tle-complementaire;tc-probabilites-conditionnelles;2;exercice-corrige;bac-es-metropole-2009;15095050
1148;Graphes Trajet minimal - Bac ES Pondichéry 2009;active;graphes-trajet-minimal-bac-es-pondichery-2009;9702001;tle-expert;tx-graphes;2;exercice-corrige;bac-es-pondichery-2009;15096010
1936;Ajustement affine-Bac ES Pondichéry 2009;active;ajustement-affine-bac-es-pondichery-2009;2;tle-complementaire;NULL;2;exercice-corrige;bac-es-pondichery-2009;15096020
2758;Lecture graphique Etude de fonction - Bac ES Pondichéry 2009;active;lecture-graphique-etude-fonction-bac-es-pondichery-2009;3;tle-complementaire;NULL;2;exercice-corrige;bac-es-pondichery-2009;15096030
1985;Probabilités Arbre - Bac ES Pondichéry 2011;active;arbre-bac-es-pondichery-2011;8652001;tle-complementaire;tc-probabilites-conditionnelles;2;exercice-corrige;bac-es-pondichery-2011;15116010
1991;Etude de fonctions - Bac ES Pondichéry 2011;active;fonctions-bac-es-pondichery-2011;2;tle-complementaire;NULL;2;exercice-corrige;bac-es-pondichery-2011;15116020
1995;Matrice de transition - Bac ES Pondichéry 2011;active;matrice-de-transition-bac-es-pondichery-2011;3;tle-complementaire;NULL;2;NULL;bac-es-pondichery-2011;15116030
2000;Recherche du bénéfice maximal - Bac ES Pondichéry 2011;active;benefice-maximal-bac-es-pondichery-2011;8602001;tle-complementaire;tc-logarithme-neperien;2;en-attente-de-correction;bac-es-pondichery-2011;15116040
2004;Pourcentages Ajustement affine - Bac ES Métropole 2012;active;pourcentages-ajustement-bac-es-metropole-2012;1;tle-complementaire;NULL;2;NULL;bac-es-metropole-2012;15125010
2008;Probabilités et pourcentages - Bac ES Métropole 2012;active;probabilites-et-pourcentages-bac-es-metropole-2012;8652001;tle-complementaire;tc-probabilites-conditionnelles;2;en-attente-de-correction;bac-es-metropole-2012;15125020
2011;QCM Fonctions - Bac ES Métropole 2012;active;qcm-fonctions-bac-es-metropole-2012;3;tle-complementaire;NULL;2;NULL;bac-es-metropole-2012;15125030
2014;Etude de bénéfice - Bac ES Métropole 2012;active;etude-benefice-bac-es-metropole-2012;4;tle-complementaire;NULL;2;NULL;bac-es-metropole-2012;15125040
2066;QCM - Bac ES/L Amérique du Nord 2013;active;qcm-bac-es-amerique-nord-2013;1;tle-complementaire;NULL;2;NULL;bac-esl-amerique-du-nord-2013;15132010
2068;Probabilités - Bac ES/L Amérique du Nord 2013;active;probabilites-bac-es-amerique-nord-2013;2;tle-complementaire;NULL;2;NULL;bac-esl-amerique-du-nord-2013;15132020
2071;Suites arithmético-géométrique - Bac ES/L Amérique du Nord 2013;active;suites-bac-es-amerique-nord-2013;8202001;tle-complementaire;tc-suites;2;exercice-corrige;bac-esl-amerique-du-nord-2013;15132030
